Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Thbd,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Gm14451,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Mdfic2,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
9330182O14Rik,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Gm19165,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Gm17879,20.024823264423265,9.433544328158304,3.690293620723668,8.863713778670419e-5,0.001021402128433184,TRUE
Tmem150b,25.217778909885837,9.419659087743582,3.4747418993390116,3.873596147679061e-5,5.244270499645867e-4,TRUE
Igha,17.188983640185977,9.408873022087148,3.5493627911202923,5.491200947575439e-5,6.928751719118258e-4,TRUE
Tdpoz4,31.962847046436718,9.408538399296626,2.05251374856571,8.343364543623235e-7,2.4445639899054494e-5,TRUE
Bcl6b,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Sult4a1,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Pitx1,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Chrna6,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Slc16a8,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Or10am5,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Nupl1,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Krtap5-5,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Pwwp4d,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Or5v1b,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Gm6159,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Gm6721,19.302942133134955,9.4047818847338,3.713780687517792,1.0261359785593787e-4,0.0011540204576573753,TRUE
Sprr2a1,18.65095486506885,9.401398825448291,3.531325210921389,5.162177107949648e-5,6.613526737587437e-4,TRUE
Saa2,18.787800605510437,9.398159039743998,3.5050727702263345,4.6610041661866485e-5,6.078022220279421e-4,TRUE
Tasl,16.467102508897668,9.382632711716253,3.572606952872216,6.407222823222712e-5,7.868029245261042e-4,TRUE
Fgd2,17.18359021798966,9.380877838383121,3.5730626421454894,6.423855973702811e-5,7.880177152211196e-4,TRUE
Gm15455,17.18359021798966,9.380877838383121,3.5730626421454894,6.423855973702811e-5,7.880177152211196e-4,TRUE
1700020L24Rik,16.53699637211987,9.375193257805169,3.4095473062057273,3.288089526799406e-5,4.5733980503329515e-4,TRUE
Clec10a,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Napsa,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Thbs4,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Ednrb,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Tmem114,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Nr1i2,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Dnase1l3,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Hk3,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Plxdc2,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Tdo2,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Gnrhr,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
St18,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Gulo,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Grid1,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Or55b4,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Krt84,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Gpr20,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Cldn2,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Tmem229a,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Or6e1,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Or6b2b,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Vmn1r247,18.58106100184665,9.374296825205418,3.7402773199842096,1.1959814199885318e-4,0.001312828243227787,TRUE
Nkx6-3,20.83928735315084,9.373125933762783,3.5416113394069755,5.7435321918560454e-5,7.212112039623319e-4,TRUE
Gm7104,13.04377605762016,9.369366588495115,3.3956562155790104,3.134752825396825e-5,4.417941881290124e-4,TRUE
Chrna7,20.12966405925657,9.367648084576674,3.538494435426501,5.73875378132009e-5,7.20998399575739e-4,TRUE
Srd5a2,12.1653692305826,9.356052804993805,3.5965455550966765,7.426270447392924e-5,8.931771056095367e-4,TRUE
