Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Rgr,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Otx2,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Fgb,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Nlrp4b,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Slitrk4,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Ankfn1,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Slc35d3,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Or2t48,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Klrc2,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Mepe,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Or14a259,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Ticam2,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Or6c211,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Or2w3b,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Oog2,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Fam205a1,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Gm6268,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Gm12799,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Or4d2b,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Vmn1r138,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Gm9466,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Gm36704,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
Fut4-ps1,18.314044642027188,0.8927701067483577,1.696676326186773,0.007095770001323073,0.03716148664295852,TRUE
