Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Or4k37,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Or5p53,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm21637,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
6030469F06Rik,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Pramel46,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Tpbgl,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Vmn1r181,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Zbed4-ps3,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm18493,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm43595,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm21009,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm9771,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm20156,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm45550,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Or51f23b,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm7789,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm7896,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm21021,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm6479,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm7708,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Dpep2nb,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Gm46641,10.82821696932464,9.160784273277883,4.869097366972013,0.001965778657928625,0.0065456301020942005,TRUE
Ccdc180,25.86672396096318,9.160776083515264,1.9476125054684077,7.524512858535197e-7,7.918556898354694e-6,TRUE
Gm42669,7372.8170270328665,9.155972379468961,1.4351714914900933,5.229026996485568e-11,1.9270127321625296e-9,TRUE
Pm20d1,51.553492659409436,9.155801968234838,1.3012420849259867,6.236820173818864e-13,4.128839252183282e-11,TRUE
Gm20789,112.64448594100972,9.153008014727838,1.213972846243361,1.237727028219155e-14,1.4256617240734176e-12,TRUE
Tmem92,36.739161946846785,9.152023976309659,1.909264740493903,5.18458342719785e-7,5.678942853347717e-6,TRUE
Adora3,25.45158750869156,9.151439961937927,1.8073532400185812,1.6001476046522686e-7,2.040784080094249e-6,TRUE
Or2z2,23.73243658277786,9.149511148139347,1.9271611593864055,4.880015367940306e-7,5.37513184995346e-6,TRUE
Thsd4,53.78464514444683,9.146029467114284,1.540164008136156,8.412510763066498e-10,2.133107122015065e-8,TRUE
Gm4756,18.39254209104448,9.145915762413242,2.017764053011469,1.555118572437178e-6,1.4882554266624946e-5,TRUE
Scn3a,20.244576390695002,9.143725780473112,2.313136519144996,1.6608562564428493e-5,1.1449477671226793e-4,TRUE
Cdh17,29.834221046343558,9.142536908056822,1.8437299609174846,2.0338038055815563e-7,2.5079349279965363e-6,TRUE
Or4a66,18.89879050775396,9.137218268074053,2.0812425387103586,2.7581074040541246e-6,2.4336910608222e-5,TRUE
Abcg3,11.14152480786373,9.136080053530172,3.6516482017666494,1.718075550557826e-4,8.42667339920342e-4,TRUE
Gm6562,11.14152480786373,9.136080053530172,3.6516482017666494,1.718075550557826e-4,8.42667339920342e-4,TRUE
